program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,determiner,det_cat,head_noun,noun_cat
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republican,NNP
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republican,JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republican,JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republican,JJ
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republicans,NNPS
303158-2,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 13 00:00:00 2011,David Dreier,R,California,U.S. Representative,the,DT,republican,JJ
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,republican,JJ
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,a,DT,republican,JJ
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrats,NNPS
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,a,DT,democrat,NNP
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,a,DT,republican,JJ
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,NULL,NULL,democrat,NNP
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,NULL,NULL,republican,NNP
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,the,DT,republican,JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,the,DT,republican,JJ
